realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyPNG, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNGData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method FocusDistanceKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:231}	{Method FocusDistance() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:256})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExifAux, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAuxData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerScanOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ISOSpeedKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:422}	{Method ISOSpeed() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:440})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ClientCharacteristicConfigurationValue() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:149}	{Method ClientCharacteristicConfiguration() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:175})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGPS, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPSData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ShouldCacheKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:226}	{Method ShouldCache() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:244})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExifAux, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAuxData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method TrackRefKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:293}	{Method TrackRef() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:317})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExifAux, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAuxData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyIPTCContactInfo, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfoData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBConnectPeripheralOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyNikon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikonData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExif, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyJFIF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyJFIFData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFFData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ProgramVersionKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:437}	{Method ProgramVersion() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:458})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method MetadataShouldExcludeXMPKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationCopySourceOptions.java:203}	{Method MetadataShouldExcludeXMP() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationCopySourceOptions.java:239})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFFData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImageProperty8BIM, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperty8BIMData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyTIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyTIFFData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBConnectPeripheralOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method OwnerNameKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanon.java:125}	{Method OwnerName() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanon.java:151})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LanguageIdentifierKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:532}	{Method LanguageIdentifier() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:553})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CompressedBitsPerPixelKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:457}	{Method CompressedBitsPerPixel() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:475})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INLINE	{Method getDictionary() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyJFIFData.java:76}	{Method set8BIMData(CGImageProperty8BIMData) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:379})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method FirmwareKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:169}	{Method Firmware() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:195})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyTIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyTIFFData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCanon, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanonData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBConnectPeripheralOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyNikon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikonData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFFData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGPS, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPSData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method HasAlphaKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:560}	{Method HasAlpha() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:770})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImageProperty8BIM, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperty8BIMData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerScanOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method FNumberKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:382}	{Method FNumber() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:400})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method SubLocationKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:462}	{Method SubLocation() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:483})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImageProperty8BIM, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperty8BIMData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExif, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ExifEXValue() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataPrefix.java:139}	{Method ExifEX() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataPrefix.java:165})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CityKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfo.java:125}	{Method City() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfo.java:151})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyIPTC, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyPNG, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNGData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method XMPRightsValue() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataPrefix.java:169}	{Method XMPRights() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataPrefix.java:195})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImageProperty8BIM, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperty8BIMData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method FocusModeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:191}	{Method FocusMode() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:216})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImageProperty8BIM, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperty8BIMData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBConnectPeripheralOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExif, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method sRGBIntentKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNG.java:178}	{Method sRGBIntent() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNG.java:203})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExif, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerScanOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method DateTimeOriginalKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:442}	{Method DateTimeOriginal() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:460})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method DescriptionKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNG.java:203}	{Method Description() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNG.java:228})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGPS, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPSData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method OriginalTransmissionReferenceKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:482}	{Method OriginalTransmissionReference() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:503})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method RecordIDKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:214}	{Method RecordID() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:238})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCanon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanonData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ContactKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:507}	{Method Contact() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:528})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method GammaKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:717}	{Method Gamma() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:735})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFFData.java:98}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method XMPRightsValue() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataNamespace.java:169}	{Method XMPRights() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataNamespace.java:195})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGPS, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPSData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LensModelKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanon.java:150}	{Method LensModel() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanon.java:176})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGPS, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPSData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method GenericAccessProfileValue() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:161}	{Method GenericAccessProfile() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:187})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method DestDistanceRefKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:348}	{Method DestDistanceRef() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:372})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExifAux, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAuxData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGIF, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIFData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LatitudeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:233}	{Method Latitude() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:257})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CountryPrimaryLocationCodeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:472}	{Method CountryPrimaryLocationCode() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:493})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method SubjectLocationKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:592}	{Method SubjectLocation() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:610})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyNikon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikonData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method AltitudeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:253}	{Method Altitude() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:277})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LoopCountKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIF.java:113}	{Method LoopCount() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIF.java:139})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method HPositioningErrorKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:378}	{Method HPositioningError() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:402})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyIPTCContactInfo, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfoData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageDestinationCopySourceOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyJFIF, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyJFIFData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBPeripheralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyPNG, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyPNGData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ReconnectionAddressValue() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:196}	{Method ReconnectionAddress() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:222})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyGIF, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIFData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyExifAux, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAuxData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageProperties.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyJFIF, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyJFIFData.java:102}	{Method set(CFString, NativeObject) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageMetadataEnumerationOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCanon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanonData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBConnectPeripheralOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method UrgencyKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:327}	{Method Urgency() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:348})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method MapDatumKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:313}	{Method MapDatum() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGPS.java:337})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method FlashCompensationKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:159}	{Method FlashCompensation() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:185})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ISOSpeedLatitudeyyyKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:427}	{Method ISOSpeedLatitudeyyy() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:445})
